Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
116,334.8921606839281,117304.90819750063,277.5496961332944,66785.82432826658,250.8281773911976,67493.70537788706,266.4266647047111,76174.69055979708,266.19540721750303,78314.8271169352,355.650477591819,53943.179261310805
117,402.15341298656693,117707.06161048719,255.61383170127644,67041.43815996786,231.34525870677064,67725.05063659383,257.18873101115344,76431.87929080823,311.4619226552984,78626.2890395905,333.7978267953743,54276.97708810618
118,527.7671391939163,118234.82874968111,280.98255115843875,67322.4207111263,279.76780434133286,68004.81844093517,330.844731971291,76762.72402277951,330.96215014451576,78957.25118973502,417.6309793475475,54694.60806745372
119,499.43645314802075,118734.26520282913,270.66476367490924,67593.0854748012,312.1548915915477,68316.97333252672,368.43108640756606,77131.15510918708,304.89856569928685,79262.14975543431,289.6750677899211,54984.28313524364
120,337.62707462550793,119071.89227745464,241.82221003525854,67834.90768483646,246.67794589794264,68563.65127842466,246.59897083014368,77377.75408001723,284.32083707398925,79546.4705925083,290.8275240426882,55275.11065928633
121,473.40065761535493,119545.29293506999,283.1487395874233,68118.05642442389,264.6705995113571,68828.32187793602,318.51514422497957,77696.2692242422,278.73692122291067,79825.2075137312,291.32863023605586,55566.43928952239
122,460.6845482785011,120005.97748334848,223.99953846018335,68342.05596288407,241.40504791824108,69069.72692585427,249.96658306694223,77946.23580730915,324.8070448888092,80150.01455862001,304.0186418157407,55870.457931338125
123,349.50545816714794,120355.48294151563,285.1586263209983,68627.21458920508,277.554508022892,69347.28143387716,325.95730433142717,78272.19311164058,298.88968083088827,80448.9042394509,292.25398710855035,56162.71191844668
124,665.4672437486919,121020.95018526432,292.17716101024496,68919.39175021532,246.1204936616156,69593.40192753877,268.748124598512,78540.94123623909,312.9862690391192,80761.89050849002,290.22599610399334,56452.937914550675
125,302.1017197943833,121323.0519050587,218.477343665616,69137.86909388093,233.53294059022505,69826.934868129,254.84009099751356,78795.7813272366,281.9176593245954,81043.80816781461,423.67371501710863,56876.611629567786
126,402.70046332016074,121725.75236837886,264.4634666478425,69402.33256052877,278.86918455368897,70105.8040526827,364.7020159979261,79160.48334323453,319.38746638350216,81363.19563419811,318.70150780675294,57195.31313737454
127,457.8141906495523,122183.56655902842,316.69142984324895,69719.02399037202,258.0454770570681,70363.84952973976,282.459232423223,79442.94257565775,287.5603471735929,81650.75598137171,285.9539739313321,57481.267111305875
128,399.2335607292173,122582.80011975764,306.6335090775619,70025.65749944959,272.86621878919703,70636.71574852896,301.10148959804695,79744.0440652558,327.90046352127115,81978.65644489299,260.0906909795396,57741.35780228541
129,341.9201517880454,122924.72027154568,235.57499092639486,70261.23249037599,251.17283635569257,70887.88858488465,286.34119559066056,80030.38526084647,319.720003366405,82298.3764482594,322.1078411428984,58063.46564342831
130,473.58923567703164,123398.30950722272,342.06388100095245,70603.29637137694,264.84001431743417,71152.72859920209,300.12328171090365,80330.50854255736,286.45461268710477,82584.8310609465,312.1567968347989,58375.622440263105
131,667.0536951758348,124065.36320239856,210.7886227416269,70814.08499411857,305.46385501373396,71458.19245421582,332.35734880278494,80662.86589136015,332.26380620579283,82917.0948671523,352.98245466829417,58728.6048949314
132,342.7697030178725,124408.13290541642,269.31870419349053,71083.40369831206,267.96915254067306,71726.16160675649,310.3079131505868,80973.17380451073,322.398801678893,83239.49366883119,281.08794677262443,59009.692841704025
133,258.8656575596444,124666.99856297606,186.42039061593675,71269.824088928,254.64228994082737,71980.80389669731,265.4609478416407,81238.63475235237,302.5727509288343,83542.06641976003,357.3308807728475,59367.02372247687
134,222.19420022899928,124889.19276320506,290.836262014047,71560.66035094205,273.7152301672607,72254.51912686457,235.4356749325581,81474.07042728493,290.83263058945175,83832.89905034949,308.50264272615374,59675.526365203026
